Date,2021 Traveler Throughput,2020 Traveler Throughput,2019 Traveler Throughput
03/07/2021,1278557,2119867,2485430
03/06/2021,992406,1844811,2156262
03/05/2021,1168734,2198517,2543689
03/04/2021,1107534,2130015,2402692
03/03/2021,826924,1877401,2143619
03/02/2021,744812,1736393,1979558
03/01/2021,1049692,2089641,2257920
02/28/2021,1190682,2353150,2307393
02/27/2021,917282,1949696,2015079
02/26/2021,1096348,2441643,1861286
02/25/2021,1051149,2364727,2160322
02/24/2021,802230,2075554,2197938
02/23/2021,714725,1919803,2274217
02/22/2021,963280,2267382,2331841
02/21/2021,1115479,2380359,2415570
02/20/2021,942238,1951535,2351856
02/19/2021,1059452,2429489,2022861
02/18/2021,914823,2358511,2177690
02/17/2021,773422,2129862,2476445
02/16/2021,738825,2190300,2147045
02/15/2021,967693,2494922,1922613
02/14/2021,946458,2198657,2227730
02/13/2021,900696,1972248,1950385
02/12/2021,1151420,2507588,1620239
02/11/2021,1034514,2415185,2055827
02/10/2021,735009,2038375,2105696
02/09/2021,617619,1814047,1648328
02/08/2021,864783,2164951,2134744
02/07/2021,854636,2224826,2064640
02/06/2021,705951,1770241,1756152
02/05/2021,868624,2271551,1655868
02/04/2021,778065,2167857,2001482
02/03/2021,618615,1843877,1792677
02/02/2021,493338,1677798,1591591
02/01/2021,628989,2054725,2078169
01/31/2021,859039,1948138,1938817
01/30/2021,617489,1658886,1593697
01/29/2021,774688,2159047,1534386
01/28/2021,750558,2085468,1862420
01/27/2021,536935,1777171,2010374
01/26/2021,468933,1643435,1571077
01/25/2021,701709,2004609,2052814
01/24/2021,838116,2136584,1991328
01/23/2021,603527,1645196,1763884
01/22/2021,755028,2145063,1804629
01/21/2021,728978,2100401,2179066
01/20/2021,542338,1801444,1776235
01/19/2021,560190,1870459,1600698
01/18/2021,878048,2298616,2271398
01/17/2021,810654,2000260,2139242
01/16/2021,690438,1781893,1786012
01/15/2021,903039,2347075,1605758
01/14/2021,803688,2242656,1886642
01/13/2021,567401,1876782,1970450
01/12/2021,520117,1691205,1604862
01/11/2021,708177,1992453,1959788
01/10/2021,886536,2183734,1955200
01/09/2021,709444,1687974,1739642
01/08/2021,772471,2072543,1733739
01/07/2021,771734,2034472,2044043
01/06/2021,665855,1815040,2229391
01/05/2021,766594,1806480,1975947
01/04/2021,1080346,2210542,2150571
01/03/2021,1327289,2422272,2202111
01/02/2021,1192881,2178656,2345103
01/01/2021,805990,2311732,2126398
12/31/2020,,874406,2392331
12/30/2020,,1163696,2133253
12/29/2020,,1019347,2009880
12/28/2020,,1111751,2500396
12/27/2020,,1284599,2575985
12/26/2020,,1128773,2470786
12/25/2020,,616469,2582580
12/24/2020,,846520,2552194
12/23/2020,,1191123,1937235
12/22/2020,,992167,1981433
12/21/2020,,954782,2490503
12/20/2020,,1064619,2519399
12/19/2020,,1073563,2487987
